model_a,model_b,dm_stat,p_value,significant_005,significant_bonf
naive,rolling_mean_22,-8.32804391777356,0.0,True,True
naive,ewma_094,-7.977614062971583,1.5543122344752192e-15,True,True
naive,arima_101,-7.3727394913383115,1.6719958750854857e-13,True,True
naive,garch_11,-16.005326110526767,0.0,True,True
naive,har_rv,-6.106716268891768,1.0170180253510352e-09,True,True
naive,ridge_05,2.522674957199606,0.011646599838261329,True,False
naive,lasso_05,-0.10471903119843874,0.9165987602791772,False,False
naive,knn_05,-8.892524573152635,0.0,True,True
naive,tree_05,-0.25905815358066625,0.7955903714506363,False,False
naive,rf_05,-1.7142004598221905,0.08649191648783283,False,False
naive,svr_05,-32.97640935631108,0.0,True,True
naive,xgb_05,1.6319771880146912,0.10268429188304617,False,False
naive,xgb_grid_08,1.543114138004833,0.12280308500399073,False,False
naive,xgb_random_08,1.5483832158709014,0.1215300597752964,False,False
naive,xgb_optuna_08,2.289401755364549,0.022056020248396146,True,False
naive,xgb_deap_08,1.0675074979176924,0.28574272966728476,False,False
rolling_mean_22,ewma_094,6.210255670515238,5.289846338740745e-10,True,True
rolling_mean_22,arima_101,3.1819787692448527,0.0014627254051509109,True,False
rolling_mean_22,garch_11,-6.953461356726708,3.5642599982566026e-12,True,True
rolling_mean_22,har_rv,5.954041944421603,2.6159971966421836e-09,True,True
rolling_mean_22,ridge_05,10.56363455625087,0.0,True,True
rolling_mean_22,lasso_05,9.260712867547143,0.0,True,True
rolling_mean_22,knn_05,3.4343648302983265,0.0005939442119022864,True,False
rolling_mean_22,tree_05,8.874869183316866,0.0,True,True
rolling_mean_22,rf_05,9.082176280021308,0.0,True,True
rolling_mean_22,svr_05,-29.738978284914037,0.0,True,True
rolling_mean_22,xgb_05,10.189361054728503,0.0,True,True
rolling_mean_22,xgb_grid_08,10.081236420263485,0.0,True,True
rolling_mean_22,xgb_random_08,10.001149610018171,0.0,True,True
rolling_mean_22,xgb_optuna_08,10.465312909233209,0.0,True,True
rolling_mean_22,xgb_deap_08,9.904922681460906,0.0,True,True
ewma_094,arima_101,-0.26556980995809476,0.7905705390371183,False,False
ewma_094,garch_11,-21.726146070103418,0.0,True,True
ewma_094,har_rv,2.2593022671960354,0.023864588988200763,True,False
ewma_094,ridge_05,13.348384609818039,0.0,True,True
ewma_094,lasso_05,10.598097902491311,0.0,True,True
ewma_094,knn_05,-2.6686314103635276,0.007616097885153161,True,False
ewma_094,tree_05,9.415225907619458,0.0,True,True
ewma_094,rf_05,11.08764201150017,0.0,True,True
ewma_094,svr_05,-31.71881965925408,0.0,True,True
ewma_094,xgb_05,12.803434795892947,0.0,True,True
ewma_094,xgb_grid_08,12.483735697619407,0.0,True,True
ewma_094,xgb_random_08,12.47643988672393,0.0,True,True
