feature,gain_norm,perm_norm,shap_norm,combined
vol_5,0.625429452012944,0.5908127297837343,0.4235762820276757,0.546606154608118
ret_lag_3,0.01618979490890064,0.06791700920908063,0.06860258103044482,0.05090312838280869
ret_lag_2,0.015057754243476352,0.06935424520345225,0.06154344523587496,0.04865181489426786
ret_lag_1,0.015620753179018293,0.06155187044294566,0.0545260937247636,0.043899572448909185
vol_d,0.008322113679346087,0.04722208840265064,0.06385708452384939,0.03980042886861537
vol_w,0.01391494427763854,0.04523302749086831,0.05057468934525925,0.03657422037125537
atr_14,0.025194660033473162,0.018194924558749544,0.04095334248114771,0.028114309024456805
volume_ratio,0.014401338875531315,0.043837714481800176,0.020164168313181477,0.026134407223504325
true_range,0.03471980720309978,0.0060513404833638035,0.03104781182383942,0.023939653170100997
vol_10,0.015129958417489167,0.013191460239762776,0.03313905262392224,0.020486823760391393
vol_22,0.01884722563492534,0.0015334772135161374,0.021723006708085878,0.014034569852175785
range_hl,0.017745516618587337,0.004665408195087142,0.015807741006031967,0.012739555273235482
volume_lag_1,0.008763219468661947,0.0033043687401061493,0.022455748658643915,0.011507778955804003
ret_lag_5,0.007364737794561301,0.004293114146563265,0.014852199712651856,0.00883668388459214
momentum_10,0.012442897254008125,0.003414371418400575,0.0053838326505270505,0.00708036710764525
log_volume_ma_10,0.007461930215196578,0.00017412904258810288,0.013587849615941193,0.007074636291241957
momentum_5,0.014189444367383619,0.0010520751766408076,0.0036226169068325664,0.006288045483618998
px_dist_sma_10,0.016612536960426756,0.0003718010937626501,0.0014893448281063876,0.006157894294098598
sma_50,0.008793258137456482,0.0018854047175605481,0.007643829650919547,0.006107497501978859
kurt_22,0.008264076285279079,0.0006659238301952969,0.008262569353352558,0.005730856489608978
skew_22,0.007991408687172461,0.0031001688829019568,0.005362690160737135,0.005484755910270517
px_dist_sma_50,0.010163904864087496,0.0022260191125428393,0.003980605320038656,0.005456843098889663
vol_m,0.008426068910069816,0.0016798542610939452,0.005521126954379541,0.005209016708514434
px_dist_sma_22,0.010658153517503216,0.0026825261823582563,0.0020297676847699933,0.005123482461543822
log_volume,0.010622417200923153,0.0,0.004167741613010524,0.004930052937977893
sma_10,0.008086319137088143,0.00244497085309404,0.002807385270285628,0.004446225086822604
sma_22,0.007351392936551977,0.0,0.0056761192269372705,0.004342504054496416
momentum_22,0.008338199085922962,0.0022249948453438376,0.00202387612315485,0.00419569001814055
ret_lag_10,0.010220228657069215,0.0,0.0015068184335385085,0.003909015696869241
dow,0.007113162957707331,0.0009149819918363738,0.0028100070329001,0.003612717327481268
month,0.006563324478500403,0.0,0.0013005719591962775,0.0026212988125655597
