feature,perm_importance_mean,perm_importance_std
vol_5,0.0034931953718062396,7.712406537729317e-05
ret_lag_2,0.00041005874813918806,3.295405515678781e-05
ret_lag_3,0.00040156105357263725,3.503932124896433e-05
ret_lag_1,0.00036392700786257593,2.8964237598800107e-05
vol_d,0.00027920180513975394,2.157032096172314e-05
vol_w,0.0002674414316389628,1.0179203635818569e-05
volume_ratio,0.00025919160779498094,3.094393809092666e-05
atr_14,0.00010757795669408309,1.0569914863821727e-05
vol_10,7.799484597052092e-05,1.1178215931262705e-05
true_range,3.577870533941927e-05,7.590350169069804e-06
range_hl,2.7584345246980122e-05,6.868891424800068e-06
ret_lag_5,2.5383147165600497e-05,6.892284447671887e-06
momentum_10,2.0187558316067883e-05,7.225315657260071e-06
volume_lag_1,1.9537164667906246e-05,6.384597131539347e-06
skew_22,1.8329827790838134e-05,8.828664130962826e-06
px_dist_sma_22,1.5860504644835604e-05,1.97886722546284e-06
sma_10,1.4455952686320047e-05,2.7133782660269397e-06
px_dist_sma_50,1.3161394921760126e-05,3.7674607592732105e-06
momentum_22,1.3155338915755727e-05,1.930096778353235e-06
sma_50,1.1147503601987348e-05,3.764014540322069e-06
vol_m,9.93218127224569e-06,2.9489532563992802e-06
vol_22,9.066723235610919e-06,4.497052385730985e-06
momentum_5,6.220421383234522e-06,3.3863458077078493e-06
dow,5.409854422633786e-06,3.635815177987854e-06
kurt_22,3.937291673564982e-06,6.945739754103393e-06
px_dist_sma_10,2.1982834737491188e-06,1.9879662420841006e-06
log_volume_ma_10,1.0295424167459412e-06,1.1627780610834612e-06
ret_lag_10,-1.0523907437372336e-06,1.6670955517991001e-06
month,-2.9426885560712365e-06,1.5236789384955928e-06
sma_22,-4.070381492713316e-06,1.786919912620321e-06
log_volume,-4.788881060978529e-06,1.9495491081042596e-06
